SEASON_TYPE,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
SEASON,NYK,NYK @ OKC,11/14/2018,L,48,103,39,88,44.3,7,26,26.9,18,23,78.3,9,27,36,18,18,8,8,17,-25
SEASON,NOP,NOP @ MIN,11/14/2018,L,48,100,40,94,42.6,9,28,32.1,11,18,61.1,10,36,46,25,18,7,6,21,-7
SEASON,MIN,MIN vs. NOP,11/14/2018,W,48,107,37,90,41.1,14,32,43.8,19,24,79.2,11,36,47,29,16,14,6,22,7
SEASON,MIL,MIL vs. MEM,11/14/2018,L,48,113,41,81,50.6,9,35,25.7,22,27,81.5,9,35,44,22,16,5,8,22,-3
SEASON,MIA,MIA @ BKN,11/14/2018,W,48,120,46,85,54.1,8,29,27.6,20,28,71.4,6,41,47,23,18,6,6,27,13
SEASON,MEM,MEM @ MIL,11/14/2018,W,48,116,42,83,50.6,14,36,38.9,18,24,75,4,30,34,24,14,8,4,20,3
SEASON,LAL,LAL vs. POR,11/14/2018,W,48,126,44,93,47.3,15,32,46.9,23,26,88.5,11,37,48,25,13,11,6,18,9
SEASON,DET,DET @ TOR,11/14/2018,W,48,106,44,91,48.4,10,33,30.3,8,13,61.5,7,32,39,24,18,8,5,24,2
SEASON,DAL,DAL vs. UTA,11/14/2018,W,48,118,45,77,58.4,12,28,42.9,16,24,66.7,7,44,51,24,20,12,6,19,50
SEASON,CLE,CLE @ WAS,11/14/2018,L,48,95,35,77,45.5,4,21,19,21,31,67.7,9,33,42,22,24,12,6,24,-24
SEASON,CHI,CHI @ BOS,11/14/2018,L,48,82,33,84,39.3,7,23,30.4,9,9,100,7,40,47,16,22,8,3,16,-29
SEASON,BKN,BKN vs. MIA,11/14/2018,L,48,107,41,101,40.6,8,28,28.6,17,24,70.8,16,30,46,17,15,10,2,29,-13
SEASON,BOS,BOS vs. CHI,11/14/2018,W,48,111,42,90,46.7,15,34,44.1,12,14,85.7,8,43,51,27,14,12,5,12,29
SEASON,SAS,SAS @ LAC,11/15/2018,L,48,111,41,102,40.2,9,29,31,20,25,80,15,30,45,19,5,7,6,24,-5
SEASON,LAC,LAC vs. SAS,11/15/2018,W,48,116,40,85,47.1,8,23,34.8,28,35,80,9,41,50,23,12,2,3,25,5
SEASON,HOU,HOU vs. GSW,11/15/2018,W,48,107,35,87,40.2,16,47,34,21,26,80.8,14,27,41,20,8,8,4,21,21
SEASON,GSW,GSW @ HOU,11/15/2018,L,48,86,32,76,42.1,4,18,22.2,18,22,81.8,12,32,44,18,17,2,5,24,-21
SEASON,DEN,DEN vs. ATL,11/15/2018,W,48,138,53,94,56.4,13,31,41.9,19,25,76,11,45,56,34,15,12,6,24,45
SEASON,ATL,ATL @ DEN,11/15/2018,L,48,93,32,92,34.8,9,42,21.4,20,27,74.1,15,28,43,20,19,7,5,22,-45
SEASON,WAS,WAS vs. BKN,11/16/2018,L,48,104,37,87,42.5,3,18,16.7,27,34,79.4,12,35,47,18,13,5,4,23,-11
